epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.51,1.74388,6.1726,2.24139,0.70448,0.73107,0.65158,0.42155,0.97034,4.31482,1.53758,3.334e-05,3.334e-05,3.334e-05
2,485.325,1.11498,3.60827,1.59181,0.8872,0.95367,0.995,0.76804,0.98456,2.21072,1.3711,7.50984e-05,7.50984e-05,7.50984e-05
3,709.083,0.97326,2.49299,1.21981,0.68172,0.94377,0.82833,0.49465,1.16881,4.4428,1.63213,0.000106955,0.000106955,0.000106955
4,940.992,1.07605,2.30684,1.49953,0.96264,0.97935,0.995,0.73865,0.96353,1.63787,1.27282,0.000128909,0.000128909,0.000128909
5,1168.12,0.85771,1.72201,1.18664,0.89106,1,0.995,0.74293,1.04574,3.14523,1.65665,0.000140962,0.000140962,0.000140962
6,1438.11,0.80347,1.49227,1.08815,0.61981,0.84406,0.73692,0.55533,1.02798,5.51549,1.5969,0.000143112,0.000143112,0.000143112
7,1661.35,0.819,1.40617,1.06275,0.53366,1,0.95333,0.73898,1.08383,8.78386,1.57999,0.00013536,0.00013536,0.00013536
8,1880.74,0.7259,1.22876,1.06688,0.25753,1,0.97192,0.81644,0.93932,8.42844,1.42843,0.000117707,0.000117707,0.000117707
9,2108.24,0.75017,1.23048,1.04301,0.87929,1,0.995,0.87369,0.68315,3.12402,1.14544,9.01514e-05,9.01514e-05,9.01514e-05
10,2335.65,0.64393,1.04105,0.99063,0.9845,1,0.995,0.86135,0.71432,1.85449,1.13168,5.26939e-05,5.26939e-05,5.26939e-05
